Application,General_Name,Category,Approved,PO_number,Quantity,PO_Order_Date,Term_Start_date,Term_End_date,Unit_Price,Total_Amount
Alienware Command Center Suite,Microsoft Windows Drivers / Tools,Image,,,,,,,,
AlignmentUtility,AlignmentUtility,Freeware,,,,,,,,
Allavsoft 3.22.1.7334,Allavsoft,Licensed,,,,,,,,
Alltrax Toolkit (remove only),Alltrax Toolkit (remove only),Freeware,,,,,,,,
ALM-Platform Loader 12.0x,Micro Focus,Licensed,YES,12199053,1,2023-10-25,2023-11-01,2024-10-31,162020.13,162020.13
ALM-Platform Loader 12.6x,Micro Focus,Licensed,YES,12199053,1,2023-10-25,2023-11-01,2024-10-31,162020.13,162020.13
ALPS Administration ver 2.0 (Production Version),ALPS Administration,Freeware,,,,,,,,
Alteryx Designer 2023.2 (User),Alteryx Designer,Licensed,NO,,,,,,,
Altiris Deployment Agent,Altiris Deployment Agent,Licensed,NO,,,,,,,
Altiris Inventory Agent,Altiris Inventory Agent,Licensed,NO,,,,,,,
Altova MapForce 2024 (x64) Enterprise Edition,Altova MapForce 2024 (x64) Enterprise Edition,Licensed,,,,,,,,
Altova MissionKit 2023 rel. 2 (x64) Enterprise Edition,Altova MissionKit 2023 rel. 2 (x64) Enterprise Edition,Licensed,,,,,,,,
Altova Taxonomy Manager,Altova Taxonomy Manager,Licensed,,,,,,,,
Altova XML-Schema Manager,Altova XML-Schema Manager,Freeware,,,,,,,,
Altova XMLSpy® 2012 Professional Edition,Altova XMLSpy® ,Licensed,,,,,,,,
