AppName,Category,Approved,POavailable,POnumber,Quantity,POOrderDate,TermStartdate,TermEnddate,POdescription,UnitPrice,TotalAmount,Comments
JDA Category Management Samples,Licensed,YES,PO available,12225338,SaaS,07-Feb-24,26/02/24,25/02/25,JDA Category Management,150809.27,150809.27,
GK Software Device Manager,Licensed,NO,,,,,,,,,,
Dynatrace Client,Licensed,NO,Vendor available,,,,,,,,,
EMC IRM Common,Licensed,NO,,,,,,,,,,
IndraWorks Ds,Licensed,YES,,,,,,,,,,
Gerber Problem and Enhancement Report Utility,Licensed,YES,,,,,,,,,,
Workbrain Admin Console,Licensed,YES,,12127933,,,,,,,,
UL Brand Test Tool,Licensed,YES,,,,,,,,,,
Progress® Telerik®,Licensed,YES,,,,,,,,,,
PowerTools,Licensed,YES,,,,,,,,,,
Panini Universal Installer,Licensed,YES,,,,,,,,,,
Spotlight Enterprise,Licensed,YES,,,,,,,,,,
SAS 9.4,Licensed,YES,,,,,,,,,,
Pulse Secure Setup Client 64-bit Activex Control,Licensed,YES,,,,,,,,,,
OpenText Exceed 15,Licensed,YES,PO available,12124427,1,23-Feb-23,01/03/23,28/02/26,"OpenText Prime Protect Support, Secure Shell and Host Explorer",196301,196301,
OMRON Automation,Licensed,NO,,,,,,,,,,
NICI U.S./Worldwide,Licensed,YES,,,,,,,,,,
Nideka,Licensed,NO,,,,,,,,,,
MarkAny,Licensed,YES,,,,,,,,,,
HID Card Printer,Licensed,NO,,,,,,,,,,
Infor WFM Clock Server,Licensed,YES,PO available,12228342,SaaS,22-Feb-24,25/03/24,24/03/25,Infor Workforce Scheduling,492437.98,492437.98,
Expert Tax,Licensed,YES,,,,,,,,,,
GX Developer,Licensed,NO,,,,,,,,,,
Endicia Professional,Licensed,YES,,,,,,,,,,
Honeywell,Licensed,YES,,,,,,,,,,
Asure ID,Licensed,NO,,,,,,,,,,
DAZzle,Licensed,YES,,,,,,,,,,
Crestron AirMedia ,Licensed,YES,,,,,,,,,,
cdcecmInstaller,Licensed,YES,,,,,,,,,,
VidyoClientForWeb,Licensed,YES,,,,,,,,,,
WIZVERA Process Manager,Licensed,YES,,,,,,,,,,
TouchEn nxKey with E2E for 32bit,Licensed,YES,,,,,,,,,,
UltraCompare,Licensed,YES,,,,,,,,,,
Reservationless-Plus VoIP,Licensed,NO,,,,,,,,,,
Scansoft PDF Professional,Licensed,NO,,,,,,,,,,
Rapid7 AppSec Toolkit,Licensed,YES,PO available,12263088,25,28-Jul-24,15/08/24,14/08/25,Rapid7- Insight App Sec,34945,34945,
PassagePoint Global,Licensed,YES,,,,,,,,,,
pcm_u_setup,Licensed,YES,,,,,,,,,,
SaralTDS Corporate,Licensed,YES,PO available,70001541,1,26-Mar-24,01/04/24,31/03/25,Relyon software renewal from 1 April 2024 to 31 March 2025,8400 Rs,8400 Rs,
Softing PROFIBUS Diagnostics Suite (64Bit),Licensed,YES,,,,,,,,,,
PCMate Platinum,Licensed,NO,,,,,,,,,,
Softing PROFIBUS Tester,Licensed,YES,,,,,,,,,,
Symantec Procomm Plus,Licensed,YES,PO available,12245938,3,09-May-24,26/05/24,26/05/27,DigiCert - Part#: npn-syman-codes;,585,1755,
Symantec Management Agent,Licensed,YES,PO available,11975311,1,30-Aug-21,9/11/2021,9/10/2024,DigiCert ELA Renewal - 9/11/21 - 9/10/24,63600,190800,
LABEL MATRIX 2015,Licensed,YES,,,,,,,,,,
OpenText Component Deployment,Licensed,YES,PO available,12124427,1,23-Feb-23,01/03/23,28/02/26,"OpenText Prime Protect Support, Secure Shell and Host Explorer",196301,196301,
npCryptoKit,Licensed,NO,,,,,,,,,,
GX Developer-FX,Licensed,NO,,,,,,,,,,
HighfiveApp,Licensed,YES,,,,,,,,,,
HMS Anybus Gateway,Licensed,NO,,,,,,,,,,
FlexPLM Design Suite,Licensed,YES,PO available,12058052,1,29-Jun-22,01/07/22,30/06/25,FlexPLM SaaS User Subscription Renewal,2734047,2734047,
IBM Security Agent,Licensed,YES,PO available,12234927,1,30-Mar-24,01/04/24,31/03/25,IBM PPA Annual Software Renewal + Security Verify Privilege Vault (Secret Server) - 4/1/2024 - 3/31/2025 Ref #2723,1611564.146,1611564.146,
IMM4 VCM Codec,Licensed,NO,,,,,,,,,,
BackPak H04.07 UI Client,Licensed,YES,,,,,,,,,,
AccuNest,Licensed,YES,,,,,,,,,,
Barcode Magic,Licensed,NO,,,,,,,,,,
Crestron Toolbox,Licensed,NO,,,,,,,,,,
AnySign4PC,Licensed,NO,,,,,,,,,,
